Time (s),Evaporator Position 1 (°C),Evaporator Position 2 (°C),Evaporator Position 3 (°C),Condenser Position 1 (°C),Condenser Position 2 (°C),Condenser Position 3 (°C),Condenser Position 4 (°C)
87.5,58.04018,55.73749,54.30294,51.28183,51.06805,51.17023,50.00469
88,58.23609,55.97025,54.56655,51.57094,51.37106,51.44803,50.30212
88.5,58.47835,56.22039,54.82034,51.86288,51.65012,51.71389,50.57419
89,58.74725,56.46289,55.07363,52.1087,51.94099,51.95925,50.87079
89.5,58.8887,56.71201,55.33215,52.42866,52.23075,52.18505,51.20276
90,58.98655,56.89674,55.58843,52.67438,52.52473,52.47786,51.47683
90.5,58.99311,57.05245,55.73043,52.96882,52.70731,52.78362,51.76433
91,59.03367,57.13793,55.88483,53.21106,52.9722,53.03487,51.97188
91.5,59.07058,57.24184,56.06641,53.47994,53.25956,53.30329,52.2061
92,59.14605,57.34315,56.20578,53.73356,53.49824,53.55577,52.45922
92.5,59.24415,57.48482,56.37102,53.95119,53.71982,53.77872,52.70447
93,59.37034,57.61711,56.5195,54.17349,53.97213,53.96321,52.92877
93.5,59.44591,57.74542,56.68772,54.33207,54.19089,54.087,53.13036
94,59.58405,57.9191,56.8516,54.52271,54.39031,54.33066,53.31928
94.5,59.72092,58.03883,56.99027,54.76064,54.48006,54.58611,53.49626
95,59.832,58.21096,57.18181,54.88946,54.61858,54.71101,53.68234
95.5,59.97771,58.33999,57.33807,55.13676,54.80117,54.95902,53.91897
96,60.11287,58.49824,57.49318,55.34626,55.00288,55.13305,54.09219
96.5,60.24841,58.65964,57.66064,55.5105,55.23304,55.33184,54.29295
97,60.41244,58.81229,57.8136,55.7325,55.49861,55.56352,54.47937
97.5,60.56129,58.97044,57.99897,55.88818,55.70038,55.73717,54.64736
98,60.69112,59.1321,58.17014,56.06506,55.88719,55.87007,54.8368
98.5,60.83794,59.28753,58.32541,56.23348,56.05424,56.02814,54.93897
99,60.98601,59.44627,58.48146,56.39163,56.1979,56.13587,55.06957
99.5,61.12532,59.6151,58.62599,56.56401,56.36132,56.22997,55.24137
100,61.26254,59.7462,58.80981,56.69119,56.5341,56.30376,55.46101
100.5,61.40985,59.90394,58.94371,56.84791,56.69176,56.56525,55.65514
101,61.58041,60.05209,59.11584,57.05512,56.86054,56.83048,55.86178
101.5,61.68132,60.19053,59.2787,57.21499,57.03286,57.01981,56.01161
102,61.83633,60.33666,59.42536,57.37605,57.19463,57.19377,56.1449
102.5,61.95966,60.50097,59.57342,57.53565,57.35401,57.31748,56.23552
103,62.10323,60.66508,59.72862,57.71355,57.47371,57.42474,56.40525
103.5,62.26612,60.78532,59.89167,57.81634,57.67246,57.57793,56.57969
104,62.38876,60.93584,60.01696,57.96666,57.8511,57.81822,56.80699
104.5,62.54033,61.09094,60.19557,58.18445,57.97986,57.95319,56.9876
105,62.68646,61.24243,60.32965,58.29877,58.14274,58.07258,57.17402
105.5,62.82556,61.38184,60.4937,58.49891,58.25618,58.21798,57.29142
106,62.97024,61.53464,60.65139,58.66885,58.42406,58.34423,57.48215
106.5,63.10699,61.6648,60.78067,58.73223,58.62753,58.53504,57.56835
107,63.25146,61.81256,60.92573,58.91161,58.78346,58.72891,57.7354
107.5,63.38965,61.97311,61.08036,59.12623,58.94221,58.97434,57.90342
108,63.54773,62.10899,61.22571,59.27317,59.06732,59.08174,58.01823
